Account address,Hide notifications
@csmonitor@flipboard.com,true
@CTVNews@flipboard.com,true
@CubbyatHome@flipboard.com,true
@CucinaItaliana@flipboard.com,true
@cultofmac@flipboard.com,true
@CultureMapATX@flipboard.com,true
@CultureMapHTX@flipboard.com,true
@curved@flipboard.com,true
@Cuteness@flipboard.com ,true
@DailyHive@flipboard.com,true
@DailyPaws@flipboard.com,true
@dallasweekly@flipboard.com,true
@damemagazine@newsie.social,true
@DazedMagazine@flipboard.com,true
@Deadline@flipboard.com,true
@decalspotters@sportsbots.xyz,true
@DecryptMedia@flipboard.com,true
@denverlifemag@flipboard.com,true
@DerSpiegel@flipboard.com,true
@DERSTANDARD@flipboard.com,true
@Digiday@flipboard.com,true
@DigitalCameraW@flipboard.com,true
@DigitalTrends@flipboard.com,true
@directopaladar@flipboard.com,true
@DiscoverMag@flipboard.com,true
@dominomag@flipboard.com,true
@DormTherapy@flipboard.com,true
@DPReview@flipboard.com,true
@Drivingca@flipboard.com,true
@dwbrasilflip@flipboard.com,true
@Dwell@flipboard.com,true
@EarthDayorg@flipboard.com,true
@EATCLUB2021@flipboard.com,true
@Eater@flipboard.com,true
@EatingWell@flipboard.com,true
@EATSMARTER@flipboard.com,true
@EdmontonJournal@flipboard.com,true
@edmorse1@flipboard.com,true
@EducationWeek@flipboard.com,true
@EInvestidor@flipboard.com,true
@ElConfidencial@flipboard.com,true
@eldiarioes@flipboard.com,true
@EliteDaily_BDG@flipboard.com,true
@ELLE_de@flipboard.com,true
@elle_es@flipboard.com,true
@ELLE@flipboard.com,true
@elledecor@flipboard.com,true
@ElleDecoUK@flipboard.com,true
@ellefrance@flipboard.com,true
@ElleItalia@flipboard.com,true
@ElleUK@flipboard.com,true
@ElPeriodico_Esp@flipboard.com,true
@Engadget@flipboard.com,true
@entrepreneur@flipboard.com,true
@Epicurious@flipboard.com,true
@ErinBrockovich@flipboard.com,true
@espinof@flipboard.com,true
@espn@flipboard.com,true
@esquire@flipboard.com,true
@EsquireGermany@flipboard.com,true
@Esquireitalia2@flipboard.com,true
@EsquireUK@flipboard.com,true
@essentialpixels@flipboard.com,true
@ETOnline@flipboard.com,true
@euronews@flipboard.com,true
@EuronewsCulture@flipboard.com,true
@euronewsde@flipboard.com,true
@euronewsfr@flipboard.com,true
@euronewsgreen@flipboard.com,true
@EuronewsNext@flipboard.com,true
@EveningStandard@flipboard.com,true
@ew@flipboard.com,true
@Exploredotcom@flipboard.com ,true
@f1mania@flipboard.com,true
@FamilyHandyman@flipboard.com,true
@fansided@flipboard.com,true
@FarOutMagazine@flipboard.com,true
@FastCompany@flipboard.com,true
@fedora@fosstodon.org,true
@FEINSCHMECKERDE@flipboard.com,true
@FieldandStream@flipboard.com,true
@Filmstarts@flipboard.com,true
@FinanceForward@flipboard.com,true
@FinancialPost@flipboard.com,true
@financialtimes@flipboard.com,true
@FineWoodworking@flipboard.com,true
@FitForFun@flipboard.com,true
@FlipboardBR@flipboard.com,true
@FlipboardDE@flipboard.com,true
@FlipboardUK@flipboard.com,true
@FODMAPeveryday@flipboard.com,true
@fodors@flipboard.com,true
@Food52@flipboard.com,true
@foodandwine@flipboard.com,true
@FoodRepublic@flipboard.com ,true
@Forbes_es@flipboard.com,true
@forbes@flipboard.com,true
@ForeignAffairs@flipboard.com,true
@foreignpolicy@mastodon.world,true
@fortune@flipboard.com,true
@Fotogramas@flipboard.com,true
@FourFourTwo@flipboard.com,true
@FoxSportsRadio@flipboard.com,true
@FR_de@flipboard.com,true
@frameworkcomputer@fosstodon.org,true
@France3Regions@flipboard.com,true
@freundin_de@flipboard.com,true
@FrommersMag@flipboard.com,true
@Futurezone_de@flipboard.com,true
@Futurism@flipboard.com,true
@GalaDigital@flipboard.com,true
@Gamespot@flipboard.com,true
@GamesRadar@flipboard.com,true
@GardenGuides@flipboard.com ,true
@Gatheredhow@flipboard.com,true
@GaultMillauCH@flipboard.com,true
@Gazzetta@flipboard.com,true
@gbhnews@mastodon.social,true
@GdnsIllustrated@flipboard.com,true
@GearPatrol@flipboard.com,true
@GEO_de@flipboard.com,true
@GEO_France@flipboard.com,true
@Gigade@flipboard.com,true
@Gizmodo@flipboard.com,true
@GlacierMedia@flipboard.com,true
@glaminc@flipboard.com ,true
@GLAMOUR@flipboard.com,true
@GlamourGermany@flipboard.com,true
@GlamourUK@flipboard.com,true
@GlobalGrind@flipboard.com,true
@GlobalNews@flipboard.com,true
@globeandmail@flipboard.com,true
@gnome@floss.social,true
@goalbr@flipboard.com,true
@goaldeutschland@flipboard.com,true
@GOBankingRates@flipboard.com ,true
@Golemde@flipboard.com,true
@Golf@flipboard.com,true
@Golfweek@flipboard.com,true
@GoodHouseMag@flipboard.com,true
@GoodHouseUK@flipboard.com,true
@GOODinc@flipboard.com,true
@GoodNewsDE@flipboard.com,true
@gospelsb@threads.net,true
@Gothamist@flipboard.com,true
@GQ_Germany@flipboard.com,true
@GQItalia@flipboard.com,true
@GraziaUK@flipboard.com,true
@GraziaUSA@flipboard.com,true
@Grist@flipboard.com,true
@Gruenderszene@flipboard.com,true
@Grunge@flipboard.com,true
@GuitarWorld@flipboard.com,true
@HackerNoon@flipboard.com,true
@hakaimagazine@flipboard.com,true
@Handelsblatt@flipboard.com,true
@HaroldParis@flipboard.com,true
@HarpersBAZAAR@flipboard.com,true
@HarpersBAZAARde@flipboard.com,true
@HarpersBazaarUK@flipboard.com,true
@harvardbusiness@flipboard.com,true
@HBR@flipboard.com,true
@HBUK@flipboard.com,true
@HealthDigest@flipboard.com ,true
@HeatmapNews@flipboard.com,true
@heiseonline@flipboard.com,true
@HelloBeautiful@flipboard.com,true
@HELLOMagazine@flipboard.com,true
@herzelieb@flipboard.com,true
@hetzner@mastodon.hetzner.social,true
@HeySoCal@flipboard.com,true
@HiddenCityPhila@flipboard.com,true
@HighCountryNew@flipboard.com,true
@Hipertextual@flipboard.com,true
@HipHopWired@flipboard.com,true
@HomesGardens@flipboard.com,true
@HonoluluCivil@flipboard.com,true
@Hoodline@flipboard.com,true
@HouseBeautiful@flipboard.com,true
@HouseDigest@flipboard.com,true
@houstonchron@flipboard.com,true
@HowStuffWorks@flipboard.com,true
@HuckMagazine@flipboard.com,true
@huffingtonpost@flipboard.com,true
@huffpostuk@flipboard.com,true
@Hunker_Home@flipboard.com ,true
@Iconfactory@iconfactory.world,true
@IdealHome@flipboard.com,true
@ign@flipboard.com,true
@iheartradio@flipboard.com,true
@ilPost@flipboard.com,true
@IlSole24Ore@flipboard.com,true
@imidwest@flipboard.com ,true
@Independent@flipboard.com,true
@IndieWire@flipboard.com,true
@InfoMoney@flipboard.com,true
@InformationWeek@flipboard.com,true
@InsideClimate@flipboard.com,true
@InsideEVs@flipboard.com,true
@Insider@flipboard.com,true
@instyle@flipboard.com,true
@inversedotcom@flipboard.com,true
@Investigati39q0@flipboard.com,true
@investingdotcom@flipboard.com,true
@Investopedia@flipboard.com,true
@InvestorsBD@flipboard.com,true
@IslandsMagazine@flipboard.com,true
@ITVNews@flipboard.com,true
@Jalopnik@flipboard.com,true
@JazziiAKA@flipboard.com,true
@Jezebel@flipboard.com,true
@JovemPan@flipboard.com,true
@Joysauce@flipboard.com,true
@JuliaLassner@flipboard.com,true
@kagihq@mastodon.social,true
@kinode@flipboard.com,true
@KinshipUK@flipboard.com,true
@Kiplingers@flipboard.com,true
@KNPR@flipboard.com,true
@Kotaku@flipboard.com,true
@KPBSPublicMedia@flipboard.com,true
@KyivIndependent@flipboard.com,true
@La_Vanguardia@flipboard.com,true
@laSexta@flipboard.com,true
@LaStampa@flipboard.com,true
@LATimes@flipboard.com,true
@LaughingSquid@flipboard.com,true
@Le_Parisien@flipboard.com,true
@Leader_Post@flipboard.com,true
@Lecker_de@flipboard.com,true
@LeFigaro@flipboard.com,true
@LeHuffpost@flipboard.com,true
@LGBTQNation@flipboard.com,true
@libreoffice@fosstodon.org,true
@lifewiretech@flipboard.com,true
@LiveScience@flipboard.com,true
@LonelyPlanet@flipboard.com,true
@LoneStarLivecom@flipboard.com,true
@Looper@flipboard.com ,true
@macrumors@flipboard.com,true
@macstories@flipboard.com,true
@MadameNoire@flipboard.com,true
@Madison365@flipboard.com,true
@MaineMonitor@flipboard.com,true
@Malditaes@flipboard.com,true
@MandyApplegate@flipboard.com,true
@MarieClaire@flipboard.com,true
@MarieClaireIta@flipboard.com,true
@MarieClaireUK@flipboard.com,true
@marketwatch@flipboard.com,true
@marthastewartliving@flipboard.com,true
@Marvel@flipboard.com,true
@Mashable@flipboard.com,true
@Mashed@flipboard.com,true
@Mashed@flipboard.com ,true
@MassLive@flipboard.com,true
@mastodon@mastodon.social,true
@MDoficial@flipboard.com,true
@Medium@flipboard.com,true
@MensHealth_de@flipboard.com,true
@MensHealth@flipboard.com,true
@MensHealthUK@flipboard.com,true
@mensjournal@flipboard.com,true
@mental_floss@flipboard.com,true
@MerianOfficial@flipboard.com,true
@metalhammer_de@flipboard.com,true
@MeteoredBR@flipboard.com,true
@MetrolandMedia@flipboard.com,true
@MetroUK@flipboard.com,true
@MilitaryNews@flipboard.com,true
@MilitaryTimes@flipboard.com,true
@milwaukeene28e6@flipboard.com,true
@mittechreview@flipboard.com,true
@Mixmag2018@flipboard.com,true
@MLivecom@flipboard.com,true
@mobileatom@flipboard.com,true
@mobilesyrup@flipboard.com,true
@money@flipboard.com,true
@moneydigest@flipboard.com,true
@MoneyWise@flipboard.com,true
@monopol_online@flipboard.com,true
@MONTECRISTO_mag@flipboard.com,true
@morgenpost@flipboard.com,true
@MorningBrew@flipboard.com,true
@MotherJonesMag@flipboard.com,true
@Motor1Brasil@flipboard.com,true
@motortrend@flipboard.com,true
@moviepilot@flipboard.com,true
@MSFTstories@flipboard.com,true
@MsMagazine2019@flipboard.com,true
@MSTODAYnews@flipboard.com,true
@MTLBlog@flipboard.com,true
@MtlGazette@flipboard.com,true
@mtlgazette@mstdn.social,true
@MTPR@flipboard.com,true
@muo_official@flipboard.com,true
@MusicRadar@flipboard.com,true
@MUSIKEXPRESSde@flipboard.com,true
@mymodernmet@flipboard.com,true
@myselfde@flipboard.com,true
@NarcityCanada@flipboard.com,true
@NatGeoBrasil@flipboard.com,true
@NatGeoDE@flipboard.com,true
@NatGeoEsp@flipboard.com,true
@NatGeoFrance@flipboard.com,true
@NationalGeographic@flipboard.com,true
@NationalPost@flipboard.com,true
@NatObserver@flipboard.com,true
@NBCNews@flipboard.com,true
@NBCNewYork@flipboard.com,true
@NBCSports@flipboard.com,true
@NewAtlas@flipboard.com,true
@NewHomeSource@flipboard.com,true
@news.postimees.ee@rss-parrot.net,true
@newschain@flipboard.com,true
@NewScientist@flipboard.com,true
@NewsCorpse@newsie.social,true
@NewsLitProject@flipboard.com,true
@NewtralMedia@flipboard.com,true
@NewYorker@flipboard.com,true
@newyorktimes@flipboard.com,true
@NewYorkUpstate@flipboard.com,true
@nextcloud@mastodon.xyz,true
@NHbulletin@flipboard.com,true
@NHLTradeTalk@flipboard.com,true
@NickiSwift@flipboard.com ,true
@NJcom@flipboard.com,true
@NMEMagazine@flipboard.com,true
@NMInDepth@flipboard.com,true
@NOBLE_STYLE_DE@flipboard.com,true
@NonDoc@flipboard.com,true
@NoticiasdaTV@flipboard.com,true
@npr@flipboard.com,true
@NRDC_ORG@flipboard.com,true
@ntv2019@flipboard.com,true
@Numerama@flipboard.com,true
@NUVOMagazine@flipboard.com,true
@nybooks@newsie.social,true
@nylon@flipboard.com,true
@NYMag@flipboard.com,true
@NZZ_Ch@flipboard.com,true
@NZZBellevue@flipboard.com,true
@OIYS@flipboard.com,true
@OKMagazine@flipboard.com,true
@OlharDigital@flipboard.com,true
@OliveMagazine@flipboard.com,true
@OndaCero@flipboard.com,true
@openDemocracy@flipboard.com,true
@OpenGiornale@flipboard.com,true
@OprahDaily@flipboard.com,true
@OttawaCititzen@flipboard.com,true
@OuestFrance@flipboard.com,true
@OutdoorGuide@flipboard.com ,true
@OutdoorLife@flipboard.com,true
@outside@flipboard.com,true
@OutTraveler@flipboard.com,true
@OVicio@flipboard.com,true
@panic@social.panic.com,true
@ParadeMag@flipboard.com,true
@parents@flipboard.com,true
@PasteMagazine@flipboard.com,true
@PatagoniaRT@flipboard.com,true
@Patch@flipboard.com,true
@PBSNewsHour@flipboard.com,true
@PC_Gamer_@flipboard.com,true
@PCMag@flipboard.com,true
@PennLivedotcom@flipboard.com,true
@people@flipboard.com,true
@PetaPixel@flipboard.com,true
@Photofocus@flipboard.com,true
@Photografix@flipboard.com,true
@PinkNews@flipboard.com,true
@pipocamoderna@flipboard.com,true
@pitchfork@flipboard.com,true
@PlanetF1@flipboard.com,true
@PlanetFootball@flipboard.com,true
@plausible@fosstodon.org,true
@Playbill@flipboard.com,true
@playdate@panic.com,true
@PlayersTribune@flipboard.com,true
@Poder360@flipboard.com,true
@podmust@flipboard.com,true
@politico@flipboard.com,true
@politico@newsie.social,true
@POLITICOEurope@flipboard.com,true
@polygon@flipboard.com,true
@POPSUGARUK@flipboard.com,true
@popularmechanics@flipboard.com,true
@PopularScience@flipboard.com,true
@PopularWood@flipboard.com,true
@PostCityMag2pjr@flipboard.com,true
@PowderMag@flipboard.com,true
@PremiumQuarter@flipboard.com,true
@PreventionMag@flipboard.com,true
@Pride@flipboard.com,true
@PrimaMag@flipboard.com,true
@PrimeSports@flipboard.com,true
@ProPublica@flipboard.com,true
@ProPublica@newsie.social,true
@PureWow@flipboard.com,true
@Purgula@flipboard.com,true
@quad9dns@mastodon.social,true
@quartz@flipboard.com,true
@rabbleca@flipboard.com,true
@raepublic@flipboard.com,true
@RealSimple@flipboard.com,true
@redbook@flipboard.com,true
@RedMagazine@flipboard.com,true
@Refinery29@flipboard.com,true
@Refinery29UK@flipboard.com,true
@reisereporter@flipboard.com,true
@repubblica@flipboard.com,true
@Reuters@flipboard.com,true
@Reviewed_@flipboard.com,true
@RevistaGalileu@flipboard.com,true
@RevistaPEGN@flipboard.com,true
@Rivals@sportsbots.xyz,true
@RivistaStudio@flipboard.com,true
@RivistaUndici@flipboard.com,true
@RNDAudience@flipboard.com,true
@Roadandtrack@flipboard.com,true
@RobbReport@flipboard.com,true
@RollCall@flipboard.com,true
@RollingStone@flipboard.com,true
@RollingStoneBR@flipboard.com,true
@rollingstoneDE@flipboard.com,true
@RollingStoneIta@flipboard.com,true
@RunnersWorld@flipboard.com,true
@RunnersWorldUK@flipboard.com,true
@Salon@flipboard.com,true
@saltwirenetwork@flipboard.com,true
@sansanberlin@flipboard.com,true
@SBAudience@flipboard.com,true
@SCdailygazette@flipboard.com,true
@SciAm@flipboard.com,true
@ScienceAlert@flipboard.com,true
@sciencefocus@flipboard.com,true
@Sciencing@flibpoard.com ,true
@self@flipboard.com,true
@Semafor@flipboard.com,true
@SeriousEats@flipboard.com,true
@SFistNews@flipboard.com,true
@Shape@flipboard.com,true
@SheKnowscom@flipboard.com,true
@Shondaland@flipboard.com,true
@ShortListMag@flipboard.com,true
@si_flipboard@flipboard.com,true
@SILivedotcom@flipboard.com,true
@SimplyRecipes@flipboard.com,true
@Sky_Sport@flipboard.com,true
@skyatnightmag@flipboard.com,true
@SkyNewsUK@flipboard.com,true
@SkyTG24@flipboard.com,true
@Slashfilm@flipboard.com ,true
@Slate@flipboard.com,true
@Slatefr@flipboard.com,true
@smallhomeideas@flipboard.com,true
@Smithsonianmag@flipboard.com,true
@snookerbot@snooker.uk.to,true
@SonyAlpha@flipboard.com,true
@SouthernLiving@flipboard.com,true
@Spacecom@flipboard.com,true
@SPINMag@flipboard.com,true
@SportBuzz@flipboard.com,true
@SPORTes2019@flipboard.com,true
@SportingNews@flipboard.com,true
@Sportsnaut@flipboard.com,true
@spotlightpa@flipboard.com,true
@SPOXcom@flipboard.com,true
@SRKelleher@flipboard.com,true
@Star_Phoenix@flipboard.com,true
@StarTribune@flipboard.com,true
@StartupItalia@flipboard.com,true
@Stern_Digital@flipboard.com,true
@StyleCaster@flipboard.com,true
@SuccessfulFarm@flipboard.com,true
@SudOuest@flipboard.com,true
@SunSentinel@flipboard.com,true
@surf@flipboard.social,true
@Surfer@flipboard.com,true
@svg@flipboard.com ,true
@syracusecom@flipboard.com,true
@SZ_de@flipboard.com,true
@T3dotcom@flipboard.com,true
@t3n@flipboard.com,true
@Tagesspiegel@flipboard.com,true
@TapasMagazine@flipboard.com,true
@tastingtable@flipboard.com,true
@tastingtable@flipboard.com ,true
@taz_de@flipboard.com,true
@tech@flipboard.com,true
@TECHcetera@flipboard.com,true
@Techcrunch@flipboard.com,true
@TechRadar@flipboard.com,true
@TechTudo@flipboard.com,true
@TecMundo@flipboard.com,true
@Tecnoblog@flipboard.com,true
@TeenVogue@flipboard.com,true
@Telerama@flipboard.com,true
@texasmonthly@flipboard.com,true
@The74@flipboard.com,true
@TheAdvocate4q66@flipboard.com,true
@TheAtlantic@flipboard.com,true
@TheAutopian@flipboard.com,true
@TheBulwark@flipboard.com,true
@thecollector@flipboard.com,true
@thecoloradosun@flipboard.com,true
@thecontinent@mas.to,true
@TheConversationUS@newsie.social,true
@TheCoolDown@flipboard.com,true
@TheDailyMeal@flipboard.com ,true
@theface@flipboard.com,true
@theforward@flipboard.com,true
@TheHill@flipboard.com,true
@TheHillTimes@flipboard.com,true
@TheInfatuation@flipboard.com,true
@TheIntercept@flipboard.com,true
@theipaper@flipboard.com,true
@thejapantimes@mastodon.social,true
@TheKitchn@flipboard.com,true
@thelist@flipboard.com ,true
@TheManual@flipboard.com,true
@TheMirror@flipboard.com,true
@TheMotleyFool@flipboard.com,true
@TheNarwhal@flipboard.com,true
@thenewsdesk@flipboard.com,true
@thenextweb@flipboard.com,true
@theoregonian@flipboard.com,true
@TheProvince@flipboard.com,true
@TheRecount@flipboard.com,true
@TheRoot@flipboard.com,true
@TheSpruceEats@flipboard.com,true
@TheSpruceMakes@flipboard.com,true
@TheSprucePets@flipboard.com,true
@TheStreet@flipboard.com,true
@TheTakeout@flipboard.com,true
@thetyee@mstdn.ca,true
@theverge@flipboard.com,true
@TheWeekUK@flipboard.com,true
@TheWrap@flipboard.com,true
@thezoereport@flipboard.com,true
@ThisIsDig@flipboard.com,true
@thisisflowspace@flipboard.com,true
@THR@flipboard.com,true
@thrillist@flipboard.com,true
@time@flipboard.com,true
@timeoutlondon@flipboard.com,true
@Titleist@sportsbots.xyz,true
@TomsHardware@flipboard.com,true
@TorontoLife2019@flipboard.com,true
@TownandCountry@flipboard.com,true
@TrailRunner2022@flipboard.com,true
@travelleisure@flipboard.com,true
@TucsonSentinel@mastodon.tucsonsentinel.com,true
@TudodeReceitas@flipboard.com,true
@Tutanota@mastodon.social,true
@TVGuide@flipboard.com,true
@TVOntario@flipboard.com,true
@ubuntu@ubuntu.social,true
@UNILAD@flipboard.com,true
@universalhub@mastodon.online,true
@UOL@flipboard.com,true
@upworthy@flipboard.com,true
@USAToday@flipboard.com,true
@USAToday10Best@flipboard.com,true
@usatodaysports@flipboard.com,true
@UsbeketRica@flipboard.com,true
@USNews@flipboard.com,true
@usweekly@flipboard.com,true
@utopiade@flipboard.com,true
@VamoFutebol@flipboard.com,true
@VancouverSun@flipboard.com,true
@vanityfair@flipboard.com,true
@VanityFairItaly@flipboard.com,true
@Variety@flipboard.com,true
@venturebeat@flipboard.com,true
@VerandaMag@flipboard.com,true
@verywell@flipboard.com,true
@verywellfit@flipboard.com,true
@VerywellMind@flipboard.com,true
@VinePair@flipboard.com,true
@VirginiaMercury@flipboard.com,true
@Vivaldi@vivaldi.net,true
@VOGUE_Germany@flipboard.com,true
@Vogue@flipboard.com,true
@voguefrance@flipboard.com,true
@VogueItalia@flipboard.com,true
@VogueSpain@flipboard.com,true
@votebeat@flipboard.com,true
@Vox@flipboard.com,true
@wallpapermag@flipboard.com,true
@WAMonthly@flipboard.com,true
@WashPost@flipboard.com,true
@watson_de@flipboard.com,true
@wausaupilot@flipboard.com,true
@WeDistribute@flipboard.com,true
@WEF@flipboard.com,true
@WellandGood@flipboard.com,true
@WhatHiFi@flipboard.com,true
@WhichUK@flipboard.com,true
@WhoWhatWearUK@flipboard.com,true
@wikimediafoundation@wikimedia.social,true
@WineSpectat2018@flipboard.com,true
@Wirecutter@flipboard.com,true
@WIRED@flipboard.com,true
@WiredItalia@flipboard.com,true
@wjct@flipboard.com,true
@WMagazine@flipboard.com,true
@wnpr@flipboard.com,true
@WomansDay@flipboard.com,true
@Womencom@flipboard.com ,true
@womenshealth@flipboard.com,true
@WomensHealthUK@flipboard.com,true
@WomensRunning@flipboard.com,true
@Worldatlascom@flipboard.com,true
@wrestleinc@flipboard.com ,true
@WSJ@flipboard.com,true
@wweek@flipboard.com,true
@xataka@flipboard.com,true
@XtraMagazine@flipboard.com,true
@YachtingWorld@flipboard.com,true
@YahooCA@flipboard.com,true
@YahooFinance@flipboard.com,true
@Yardbarker@flipboard.com,true
@yunohost@toot.aquilenet.fr,true
@ZDNet@flipboard.com,true
@ZEITONLINE@flipboard.com,true
@Zett@flipboard.com,
